OSM ID,Functionality,Original Global Efficiency,New Global Efficiency,Change in Efficiency,Normalized Efficiency Change,Relative Efficiency Change,Absolute Relative Efficiency Change,Norm_Func,Norm_Eff,Criticality Score,Buffer Distance (km)
27896213,59.91,0.004529071,0.004526623,-2.45E-06,2.45e-06,-0.00054095,0.00054095,0.7345413786661686,0.000615838,0.36757860832529965,5
116869188,61.59,0.011627584,0.011517357,-0.000110227,0.000110227,-0.009479785,0.009479785,0.7031571081636465,0.031344158,0.36725063289996174,5
31555943,61.48,0.006953662,0.006853247,-0.000100416,0.000100416,-0.014440736,0.014440736406227395,0.7052120306370261,0.028546941680142872,0.36687948615858446,5
534696006,61.35,0.008935749,0.008849265,-8.65E-05,8.65e-05,-0.009680218,0.009680218,0.7076405753782926,0.024579348,0.36610996191085254,5
227774541,60.79,0.008224599,0.008202521,-2.21E-05,2.21e-05,-0.002687061,0.002687061,0.7181019988791333,0.006218253,0.36216012593040775,5
564061128,69,0.035129445,0.0345948,-0.000534645,0.000534645,-0.015219284,0.015219284,0.5647300579114516,0.1523500491529947,0.3585400535322231,5
686170054,61.19,0.005195019,0.005174153,-2.09E-05,2.09e-05,-0.004023084,0.004023084,0.710629554,0.005876121,0.3582528371447498,5
23750997,61.2,0.003711063,0.003698842,-1.22E-05,1.22e-05,-0.003287468,0.003287468,0.7104427423874463,0.003395662,0.35691920230357727,5
23750997,61.24,0.003711063,0.003698842,-1.22E-05,1.22e-05,-0.003287468,0.003287468,0.709695498,0.003395662,0.3565455800356901,5
23750997,61.31,0.003711063,0.003698842,-1.22E-05,1.22e-05,-0.003287468,0.003287468,0.70838782,0.003395662,0.3558917410668876,5
44853787,62.22,0.013007696,0.01293695,-7.07E-05,7.07e-05,-0.005435244,0.005435244,0.691388007,0.020074607631373066,0.355731307,5
23750997,61.37,0.003711063,0.003698842,-1.22E-05,1.22e-05,-0.003287468,0.003287468,0.7072669531104054,0.003395662,0.35533130766505683,5
23750997,61.54,0.003711063,0.003698842,-1.22E-05,1.22e-05,-0.003287468,0.003287468,0.7040911638333646,0.003395662,0.3537434130265364,5
147005239,72.48,0.010853351,0.010131715,-0.000721636,0.000721636,-0.066489695,0.066489695,0.4997197832990846,0.20566308644312506,0.3526914348711048,5
1096819314,61.84,0.021939885,0.021916185,-2.37E-05,2.37e-05,-0.001080224,0.001080224,0.69848683,0.006674429,0.35258062954075137,5
668356586,63.92,0.018406573,0.018251214,-0.000155359,0.000155359,-0.008440409,0.008440409,0.6596301139547918,0.044211750188742925,0.35192093207176733,5
754095463,61.91,0.007185634,0.007165665,-2.00E-05,2e-05,-0.002783331,0.002783331,0.6971791518774519,0.005619522,0.3513993367426911,5
44369866,67.48,0.006005945,0.005630546,-0.000375399,0.000375399,-0.062504568,0.062504568,0.5931253502708762,0.10694739375084107,0.35003637201085863,5
26371569,61.92,0.006547101,0.006537286,-9.81E-06,9.81e-06,-0.001498373,0.001498373,0.6969923407435084,0.002714249,0.3498532948189255,5
397662021,61.81,0.014487304,0.014485453,-1.85E-06,1.85e-06,-0.000127698,0.000127698,0.6990472632168878,0.000444772,0.3497460175472661,5
26371569,61.94,0.006547101,0.006537286,-9.81E-06,9.81e-06,-0.001498373,0.001498373,0.6966187184756212,0.002714249,0.34966648368498193,5
26371569,61.96,0.006547101,0.006537286,-9.81E-06,9.81e-06,-0.001498373,0.001498373,0.696245096,0.002714249,0.34947967255103835,5
972218357,62.13,0.01380433,0.013798432,-5.90E-06,5.9e-06,-0.000427402,0.000427402,0.693069307,0.001599468,0.3473343875145725,5
972218361,62.39,0.011769738,0.011759603,-1.01E-05,1.01e-05,-0.000858133,0.000858133,0.688212217,0.002796931,0.34550457414705804,5
1061781163,63.99,0.008738429,0.008632679,-0.00010575,0.00010575,-0.012101718,0.012101717597064642,0.6583224360171867,0.030067719369473136,0.3441950776933299,5
1061781163,63.99,0.008738429,0.008632679,-0.00010575,0.00010575,-0.012101718,0.012101717597064642,0.6583224360171867,0.030067719369473136,0.3441950776933299,5
27896100,63.49,0.00255943,0.002496492,-6.29E-05,6.29e-05,-0.024575784,0.024575784,0.6676629927143658,0.017850748243151082,0.34275687047875847,5
1221691632,67.46,0.006825307,0.006522019,-0.000303288,0.000303288,-0.044435803,0.044435803400491726,0.5934989725387635,0.086387814,0.33994339312274613,5
44866647,68.02,0.018401816,0.01807816,-0.000323656,0.000323656,-0.017588264,0.017588264114802583,0.5830375490379228,0.092194938,0.3376162434248454,5
