city ,city_latitude,city_longitude,bridge_start_lat,bridge_start_lon,bridge_end_lat,bridge_end_lon,node,city_closeness_before_removal,centrality_after_removal
Motta Montecorvino,41.50743,15.114141,41.45557,15.071583,41.456179,15.074445,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.486573,15.103845,41.487056,15.104691,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.493045,15.135518,41.498058,15.142045,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.477603,15.053563,41.47618,15.053555,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.489362,15.117366,41.489353,15.117513,"41.507341, 15.114179",2.02E-06,2.02E-06
Motta Montecorvino,41.50743,15.114141,41.498706,15.146428,41.498697,15.146542,"41.507341, 15.114179",2.02E-06,2.02E-06
Pietramontecorvino,41.541631,15.127541,41.498314,15.033444,41.498232,15.033685,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.488131,15.107177,41.488831,15.108816,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.489791,15.111826,41.489723,15.113078,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.489215,15.119419,41.489653,15.12192,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.486573,15.103845,41.487056,15.104691,"41.5412081,15.1277068",1.69E-05,1.69E-05
Pietramontecorvino,41.541631,15.127541,41.493045,15.135518,41.498058,15.142045,"41.5412081,15.1277068",1.69E-05,1.69E-05
Rocchetta Sant'Antonio,41.103524,15.461754,41.154749,15.540625,41.154749,15.540625,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.153726,15.529556,41.153817,15.529892,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.130651,15.432697,41.132687,15.435097,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.149417,15.502676,41.149417,15.502676,"41.103359, 15.461733",2.02E-06,2.02E-06
Rocchetta Sant'Antonio,41.103524,15.461754,41.148594,15.518311,41.148594,15.518311,"41.103359, 15.461733",2.02E-06,2.02E-06
